iter	Passed	Remaining
469	688	776
470	689	774
471	690	771
472	691	770
473	692	769
474	693	766
475	694	764
476	695	762
477	696	760
478	697	758
479	698	756
480	698	754
481	699	752
482	700	749
483	701	747
484	702	745
485	703	743
486	704	741
487	704	739
488	706	738
489	707	736
490	708	734
491	709	732
492	710	730
493	711	728
494	712	726
495	713	724
496	714	722
497	715	720
498	715	718
499	716	716
500	717	714
501	718	712
502	719	710
503	721	709
504	722	707
505	723	706
506	724	704
507	725	702
508	726	700
509	727	698
510	728	696
511	728	694
512	729	692
513	730	690
514	731	688
515	732	686
516	733	685
517	734	683
518	735	682
519	737	680
520	738	678
521	738	676
522	739	674
523	740	672
524	741	670
525	742	669
526	743	667
527	744	665
528	745	663
529	746	661
530	747	659
531	747	657
532	748	656
533	751	655
534	752	653
535	753	651
536	753	650
537	754	648
538	755	646
539	756	644
540	757	642
541	758	640
542	759	639
543	760	637
544	761	635
545	762	633
546	763	632
547	765	631
548	766	629
549	767	627
550	768	626
551	769	624
552	770	622
553	771	621
554	772	619
555	773	617
556	773	615
557	774	613
558	775	612
559	776	610
560	778	608
561	780	608
562	781	606
563	782	604
564	783	603
565	784	601
566	785	599
567	786	598
568	787	596
569	788	594
570	788	592
571	790	591
572	791	589
573	792	587
574	792	586
575	795	585
576	796	583
577	797	582
578	798	580
579	799	578
580	800	577
581	801	575
582	801	573
583	802	571
584	803	570
585	804	568
586	805	566
587	806	564
588	807	563
589	807	561
590	811	561
591	812	559
592	813	558
593	814	556
594	815	555
595	816	553
596	817	551
597	818	550
598	819	548
599	820	546
600	821	545
601	821	543
602	822	541
603	824	540
604	826	539
605	827	538
606	828	536
607	829	535
608	831	533
609	832	532
610	833	530
611	834	528
612	835	527
613	836	525
614	837	524
615	838	522
616	840	522
617	841	520
618	842	518
619	843	517
620	845	515
621	845	514
622	846	512
623	847	510
624	848	509
625	849	507
626	850	505
627	851	504
628	852	502
629	854	501
630	855	500
631	857	499
632	858	497
633	859	496
634	860	494
635	861	493
636	862	491
637	864	490
638	865	489
639	866	487
640	868	486
641	869	484
642	871	484
643	873	482
644	874	481
645	875	479
646	876	478
647	878	477
648	879	475
649	880	474
650	882	472
651	884	472
652	886	471
653	888	469
654	889	468
655	891	467
656	892	465
657	893	464
658	894	462
659	896	461
660	898	461
661	900	459
662	901	458
663	903	456
664	905	456
665	906	454
666	907	453
667	909	452
668	912	451
669	913	449
670	915	449
671	917	447
672	918	446
673	919	444
674	920	443
675	921	441
676	922	440
677	923	438
678	924	437
679	926	436
680	927	434
681	930	433
682	933	433
683	934	431
684	935	430
685	936	428
686	939	427
687	940	426
688	941	425
689	942	423
690	945	422
691	946	421
692	947	419
693	948	418
694	949	416
695	950	414
696	950	413
697	952	411
698	953	410
699	954	408
700	955	407
701	955	405
702	956	404
703	957	402
704	959	401
705	961	400
706	961	398
707	962	397
708	963	395
709	964	394
710	965	392
711	966	390
712	967	389
713	968	387
714	969	386
715	969	384
716	971	383
717	973	382
718	975	381
719	976	379
720	977	378
721	978	376
722	979	375
723	980	373
724	980	372
725	981	370
726	982	369
727	984	367
728	985	366
729	986	364
730	989	364
731	990	362
732	991	361
733	992	359
734	993	358
735	994	356
736	995	355
737	996	353
738	997	352
739	998	350
740	999	349
741	999	347
742	1000	346
743	1002	344
744	1003	343
745	1004	342
746	1005	340
747	1006	339
748	1007	337
749	1008	336
750	1009	334
751	1010	333
752	1010	331
753	1011	330
754	1012	328
755	1013	327
756	1014	325
757	1015	324
758	1016	322
759	1017	321
760	1018	319
761	1019	318
762	1020	316
763	1021	315
764	1022	313
765	1022	312
766	1023	311
767	1024	309
768	1025	308
769	1026	306
770	1027	305
771	1027	303
772	1028	302
773	1029	300
774	1031	299
775	1033	298
776	1033	296
777	1034	295
778	1035	293
779	1036	292
780	1037	291
781	1038	289
782	1039	288
783	1040	286
784	1041	285
785	1041	283
786	1043	282
787	1044	281
788	1046	279
789	1047	278
